    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  273      114        7        1        0    0.36%    0.02%    0.00%    0.00%
  272      129        9        1        0    0.40%    0.03%    0.00%    0.00%
  271      152       10        1        0    0.47%    0.03%    0.00%    0.00%
  270      183       14        2        0    0.57%    0.04%    0.01%    0.00%
  269      215       15        2        0    0.67%    0.05%    0.01%    0.00%
  268      234       19        3        0    0.73%    0.06%    0.01%    0.00%
  267      260       22        4        0    0.81%    0.07%    0.01%    0.00%
  266      286       24        5        0    0.89%    0.07%    0.02%    0.00%
  265      324       30        7        0    1.01%    0.09%    0.02%    0.00%
  264      357       38        8        0    1.11%    0.12%    0.02%    0.00%
  263      398       49        8        0    1.24%    0.15%    0.02%    0.00%
  262      459       58        9        0    1.43%    0.18%    0.03%    0.00%
  261      515       65       10        0    1.61%    0.20%    0.03%    0.00%
  260      552       67       10        0    1.72%    0.21%    0.03%    0.00%
  259      612       75       11        0    1.91%    0.23%    0.03%    0.00%
  258      673       90       14        0    2.10%    0.28%    0.04%    0.00%
  257      758      114       15        0    2.37%    0.36%    0.05%    0.00%
  256      853      130       16        0    2.66%    0.41%    0.05%    0.00%
  255      943      155       18        1    2.94%    0.48%    0.06%    0.00%
  254     1054      185       20        1    3.29%    0.58%    0.06%    0.00%
  253     1127      199       23        2    3.52%    0.62%    0.07%    0.01%
  252     1260      239       30        2    3.93%    0.75%    0.09%    0.01%
  251     1391      268       42        4    4.34%    0.84%    0.13%    0.01%
  250     1529      296       46        4    4.77%    0.92%    0.14%    0.01%
  249     1634      331       52        4    5.10%    1.03%    0.16%    0.01%
  248     1798      391       66        5    5.61%    1.22%    0.21%    0.02%
  247     1969      439       84        8    6.14%    1.37%    0.26%    0.02%
  246     2120      504       95        9    6.61%    1.57%    0.30%    0.03%
  245     2258      539      109       12    7.05%    1.68%    0.34%    0.04%
  244     2425      599      119       13    7.57%    1.87%    0.37%    0.04%
  243     2572      650      128       15    8.03%    2.03%    0.40%    0.05%
  242     2761      737      153       17    8.61%    2.30%    0.48%    0.05%
  241     2965      806      198       18    9.25%    2.51%    0.62%    0.06%
  240     3157      902      224       24    9.85%    2.81%    0.70%    0.07%
  239     3331      988      235       30   10.39%    3.08%    0.73%    0.09%
  238     3500     1074      254       33   10.92%    3.35%    0.79%    0.10%
  237     3680     1163      281       39   11.48%    3.63%    0.88%    0.12%
